tmin	tier	text	tmax
41.342903	word	THE	41.410000
41.366667	phone	AH0	41.410000
41.410000	phone	G	41.488209
41.410000	word	GAME	41.697732
41.488209	phone	EY1	41.627891
41.627891	phone	M	41.697732
41.697732	phone	AH0	41.727664
41.697732	word	AND	41.757596
41.727664	phone	N	41.757596
41.757596	phone	N	41.817460
41.757596	word	NOTICED	42.116780
41.817460	phone	OW1	41.947166
41.947166	phone	T	41.977098
41.977098	phone	AH0	42.007029
42.007029	phone	S	42.086848
42.086848	phone	T	42.116780
42.116780	phone	F	42.166667
42.116780	word	FOR	42.196599
42.166667	phone	ER0	42.196599
42.196599	phone	DH	42.226531
42.196599	word	THE	42.296372
42.226531	phone	AH0	42.296372
42.296372	phone	F	42.416100
42.296372	word	FIRST	42.625624
42.416100	phone	ER1	42.545805
42.545805	phone	S	42.595692
42.595692	phone	T	42.625624
42.625624	phone	T	42.655556
42.625624	word	TIME	42.875057
42.655556	phone	AY1	42.845125
42.845125	phone	M	42.875057
42.875057	phone	S	42.944898
42.875057	word	SOMETHING	43.204308
42.944898	phone	AH1	43.004762
43.004762	phone	M	43.034694
43.034694	phone	TH	43.084580
43.084580	phone	IH0	43.124490
43.124490	phone	NG	43.204308
43.204308	phone	DH	43.244218
43.204308	word	THAT	43.304082
43.244218	phone	AH0	43.274150
43.274150	phone	T	43.304082
43.304082	phone	AY1	43.453741
43.304082	word	I'D	43.553515
43.453741	phone	D	43.553515
43.553515	phone	AY1	43.633333
43.553515	word	I'D	43.703175
43.633333	phone	D	43.703175
43.703175	phone	B	43.733107
43.703175	word	BEEN	43.872789
43.733107	phone	IH1	43.782993
43.782993	phone	N	43.872789
43.872789	phone	T	43.952608
43.872789	word	TO	44.012472
43.952608	phone	AH0	44.012472
44.012472	phone	DH	44.052381
44.012472	word	THE	44.082313
44.052381	phone	AH0	44.082313
44.082313	phone	S	44.152154
44.082313	word	STADIUM	44.391610
44.152154	phone	T	44.182086
44.182086	phone	EY1	44.251927
44.251927	phone	D	44.281859
44.281859	phone	IY0	44.321769
44.321769	phone	AH0	44.351701
44.351701	phone	M	44.391610
44.391610	phone	S	44.491383
44.391610	word	SO	44.541270
44.491383	phone	OW1	44.541270
44.541270	phone	M	44.591156
44.541270	word	MANY	44.690930
44.591156	phone	EH1	44.621088
44.621088	phone	N	44.651020
44.651020	phone	IY0	44.690930
44.690930	phone	T	44.740816
44.690930	word	TIMES	44.930385
44.740816	phone	AY1	44.870522
44.870522	phone	M	44.900454
44.900454	phone	Z	44.930385
44.930385	phone	B	44.980272
44.930385	word	BEFORE	45.279592
44.980272	phone	IY2	45.030159
45.030159	phone	F	45.100000
45.100000	phone	AO1	45.199773
45.199773	phone	R	45.279592
45.279592	phone	B	45.309524
45.279592	word	BUT	45.369388
45.309524	phone	AH1	45.339456
45.339456	phone	T	45.369388
45.369388	phone	AY1	45.469161
45.369388	word	I'D	45.499093
45.469161	phone	D	45.499093
45.499093	phone	N	45.568934
45.499093	word	NEVER	45.798413
45.568934	phone	EH1	45.618821
45.618821	phone	V	45.678685
45.678685	phone	ER0	45.798413
45.798413	phone	S	45.938095
45.798413	word	SEEN	46.417007
45.938095	phone	IY1	46.227438
46.227438	phone	N	46.417007
46.417007	phone	sp	46.736281
46.417007	word	sp	46.736281
46.736281	phone	AH1	46.975737
46.736281	word	UH	46.975737
46.975737	phone	sp	47.005669
46.975737	word	sp	47.005669
47.005669	phone	DH	47.045578
47.005669	word	THIS	47.195238
47.045578	phone	IH1	47.075510
47.075510	phone	S	47.195238
47.195238	phone	K	47.281385
47.195238	word	KID	47.773923
47.281385	phone	IH1	47.524490
47.524490	phone	D	47.773923
47.773923	phone	IH1	47.853741
47.773923	word	IN	47.933560
47.853741	phone	N	47.933560
47.933560	phone	R	48.013379
47.933560	word	RIGHT	48.113152
48.013379	phone	AY1	48.073243
48.073243	phone	T	48.113152
48.113152	phone	F	48.182993
48.113152	word	FIELD	48.562132
48.182993	phone	IY1	48.312698
48.312698	phone	L	48.532200
48.532200	phone	D	48.562132
48.562132	phone	W	48.612018
48.562132	word	WEARING	48.951247
48.612018	phone	EH1	48.641950
48.641950	phone	R	48.771655
48.771655	phone	IH0	48.811565
48.811565	phone	NG	48.951247
48.951247	phone	sp	49.060998
48.951247	word	sp	49.060998
49.060998	phone	EY1	49.210658
49.060998	word	A	49.210658
49.210658	phone	Y	49.270522
49.210658	word	YANKEE	49.440136
49.270522	phone	AE1	49.300454
49.300454	phone	NG	49.380272
49.380272	phone	K	49.410204
49.410204	phone	IY0	49.440136
49.440136	phone	Y	49.529932
49.440136	word	UNIFORM	50.098639
49.529932	phone	UW1	49.559864
49.559864	phone	N	49.609751
49.609751	phone	AH0	49.659637
49.659637	phone	F	49.729478
49.729478	phone	AO2	49.869161
49.869161	phone	R	49.958957
49.958957	phone	M	50.098639
50.098639	phone	sp	50.268254
50.098639	word	sp	50.268254
50.268254	phone	HH	50.298186
50.268254	word	WHO	50.328118
50.298186	phone	UW1	50.328118
50.328118	phone	W	50.358050
50.328118	word	WAS	50.457823
50.358050	phone	AH0	50.387982
50.387982	phone	Z	50.457823
50.457823	word	A	50.487755
50.457823	phone	AH0	50.487755
50.487755	phone	B	50.527664
50.487755	word	BAT	50.737188
50.527664	phone	AE1	50.667347
50.667347	phone	T	50.737188
50.737188	phone	B	50.767120
50.737188	word	BOY	50.926757
50.767120	phone	OY1	50.926757
50.926757	word	sp	50.976644
50.926757	phone	sp	50.976644
50.976644	phone	P	51.006576
50.976644	word	PLAYING	51.186168
51.006576	phone	L	51.076417
51.076417	phone	EY1	51.106349
51.106349	phone	IH0	51.146259
51.146259	phone	NG	51.186168
51.186168	phone	K	51.275964
51.186168	word	CATCH	51.535374
51.275964	phone	AE1	51.455556
51.455556	phone	CH	51.535374
51.535374	word	sp	51.595238
51.535374	phone	sp	51.595238
51.595238	phone	W	51.675057
51.595238	word	WITH	51.854649
51.675057	phone	IH1	51.744898
51.744898	phone	TH	51.854649
51.854649	phone	sp	51.945504
51.854649	word	sp	51.945504
51.945504	phone	br	52.333560
